
7836,"Leave Balance","",Untranslated
7843,"Leave Balance Before Application","",Untranslated
7848,"Leave Block List","",Untranslated
7854,"Leave Block List Allow","",Untranslated
7859,"Leave Block List Allowed","",Untranslated
7865,"Leave Block List Date","",Untranslated
7871,"Leave Block List Dates","",Untranslated
7875,"Leave Block List Name","",Untranslated
7882,"Leave Blocked","",Untranslated
7887,"Leave Control Panel","",Untranslated
7894,"Leave Details","",Untranslated
7900,"Leave Encashment","",Untranslated
7904,"Leave Encashment Amount Per Day","",Untranslated
7909,"Leave History","",Untranslated
7915,"Leave Ledger","",Untranslated
7919,"Leave Ledger Entry","",Untranslated
7938,""Leave Ledger Entry's To date needs to be after From date. Currently, From Date is {0} and To Date is {1}"","",Untranslated
7951,"Leave Period","",Untranslated
7961,"Leave Policy","",Untranslated
7965,"Leave Policy Assignment","",Untranslated
7970,"Leave Policy Assignment Overlap","",Untranslated
7975,"Leave Policy Detail","",Untranslated
7979,"Leave Policy Details","",Untranslated
7983,"Leave Policy: {0} already assigned for Employee {1} for period {2} to {3}","",Untranslated
7989,"Leave Status Notification","",Untranslated
8022,"Leave Status Notification Template","",Untranslated
8027,"Leave Type","",Untranslated
8031,"Leave Type Name","",Untranslated
8035,"Leave Type can either be compensatory or earned leave.","",Untranslated
8039,"Leave Type can either be without pay or partial pay","",Untranslated
8043,"Leave Type is mandatory","",Untranslated
8047,"Leave Type {0} cannot be allocated since it is leave without pay","",Untranslated
8051,"Leave Type {0} cannot be carry-forwarded","",Untranslated
8058,"Leave Type {0} is not encashable","",Untranslated
8062,"Leave Without Pay","",Untranslated
8066,"Leave Without Pay does not match with approved {} records","",Untranslated
8070,"Leave allocation {0} is linked with the Leave Application {1}","",Untranslated
8076,"Leave already have been assigned for this Leave Policy Assignment","",Untranslated
8080,"Leave and Expense Claim Settings","",Untranslated
8084,"Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay","",Untranslated
8088,""Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}"","",Untranslated
8092,""Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}"","",Untranslated
8096,"Leave of type {0} cannot be longer than {1}.","",Untranslated
8101,"Leave(s) Expired","",Untranslated
8105,"Leave(s) Pending Approval","",Untranslated
8121,"Leave(s) Taken","",Untranslated
8125,"Leaves","",Untranslated
8131,"Leaves & Holidays","",Untranslated
8135,"Leaves Allocated","",Untranslated
8139,"Leaves Expired","",Untranslated
8143,"Leaves Pending Approval","",Untranslated
8147,"Leaves for the Leave Type {0} won't be carry-forwarded since carry-forwarding is disabled.","",Untranslated
8151,"Leaves per Year","",Untranslated
8156,"Leaves you can avail against a holiday you worked on. You can claim Compensatory Off Leave using Compensatory Leave Request. Click {0} to know more","",Untranslated
8163,"Left","ซ้าย",Translated
8174,"Left","ซ้าย",Translated
8179,"Letter Head","หัวจดหมาย",Translated
8184,"Level","ระดับ",Translated
8188,"License Plate","ป้ายทะเบียน",Translated
8193,"Lifecycle","",Untranslated
8199,"Lime","",Untranslated
8203,"Link the cycle and tag KRA to your goal to update the appraisal's goal score based on the goal progress","",Untranslated
8207,"Linked Project {} and Tasks deleted.","",Untranslated
8212,"Load more","",Untranslated
8217,"Loan","",Untranslated
8222,"Loan Account","",Untranslated
8226,"Loan Product","",Untranslated
8231,"Loan Repayment","",Untranslated
8235,"Loan Repayment Entry","",Untranslated
8239,"Loan cannot be repayed from salary for Employee {0} because salary is processed in currency {1}","",Untranslated
8251,"Locating...","",Untranslated
8256,"Location","",Untranslated
8261,"Location / Device ID","",Untranslated
8266,"Location Name","",Untranslated
8270,"Lodging Required","",Untranslated
8276,"Log Out","",Untranslated
8280,"Log Type","",Untranslated
8284,"Log Type is required for check-ins falling in the shift: {0}.","",Untranslated
8288,"Login","เข้าสู่ระบบ",Translated
8292,"Login Failed","",Untranslated
8299,"Login to Frappe HR","",Untranslated
8303,"Longitude","ลองจิจูด",Translated
8310,"Longitude: {0}°","",Untranslated
8314,"Lower Range","",Untranslated
8320,"MICR","",Untranslated
8324,"Make","สร้าง",Translated
8331,"Make Bank Entry","",Untranslated
8335,"Mandatory","จำเป็น",Translated
8339,"Mandatory fields required for this action:","",Untranslated
8345,"Mandatory fields required in {0}","ฟิลด์ที่จำเป็นใน {0}",Translated
8351,"Manual","คู่มือ",Translated
8356,"Manual Rating","",Untranslated
8364,"Mar","",Untranslated
8370,"Mark Attendance","",Untranslated
8374,"Mark Auto Attendance on Holidays","",Untranslated
8381,"Mark all as read","",Untranslated
8385,"Mark as Completed","",Untranslated
8389,"Mark as In Progress","",Untranslated
8393,"Mark as {0}","",Untranslated
8399,"Mark attendance as {0} for {1} on selected dates?","",Untranslated
8403,"Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.","",Untranslated
8407,"Mark attendance for existing check-in/out logs before changing shift settings","",Untranslated
8411,"Mark {0} as Completed?","",Untranslated
8417,"Mark {0} {1} as {2}?","",Untranslated
8423,"Marked Attendance","",Untranslated
8427,"Marked Attendance HTML","",Untranslated
8434,"Marking Attendance","",Untranslated
8440,"Masters","",Untranslated
8446,"Max Amount Eligible","",Untranslated
8452,"Max Benefit Amount","",Untranslated
8457,"Max Benefit Amount (Yearly)","",Untranslated
8463,"Max Benefits (Amount)","",Untranslated
8472,"Max Benefits (Yearly)","",Untranslated
8476,"Max Exemption Amount","",Untranslated
8482,"Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1}","",Untranslated
8486,"Max Taxable Income","",Untranslated
8492,"Max benefits should be greater than zero to dispense benefits","",Untranslated
8498,"Max working hours against Timesheet","",Untranslated
8503,"Maximum Carry Forwarded Leaves","",Untranslated
8507,"Maximum Consecutive Leaves Allowed","",Untranslated
8512,"Maximum Consecutive Leaves Exceeded","",Untranslated
8518,"Maximum Encashable Leaves","",Untranslated
8524,"Maximum Exempted Amount","",Untranslated
8529,"Maximum Exemption Amount","",Untranslated
8533,"Maximum Leave Allocation Allowed per Leave Period","",Untranslated
8539,"Maximum amount eligible for the component {0} exceeds {1}","",Untranslated
8543,"Maximum annual taxable income eligible for full tax relief. No tax is applied if income does not exceed this limit","",Untranslated
8548,"Maximum benefit amount of component {0} exceeds {1}","",Untranslated
8552,"Maximum benefit amount of employee {0} exceeds {1}","",Untranslated
8556,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component amount and previous claimed amount","",Untranslated
8560,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of previous claimed amount","",Untranslated
8564,"Maximum encashable leaves for {0} are {1}","",Untranslated
8569,"Maximum leave allowed in the leave type {0} is {1}","",Untranslated
8574,"May","",Untranslated
8578,"Meal Preference","",Untranslated
8582,"Medical","",Untranslated
8591,"Menu","เมนู",Translated
8596,"Message","ข้อความ",Translated
8602,"Mileage","",Untranslated
8608,"Min Taxable Income","",Untranslated
8614,"Minimum Year for Gratuity","",Untranslated
8618,"Minimum working days required since Date of Joining to apply for this leave","",Untranslated
8623,"Missing Field","ฟิลด์ที่หายไป",Translated
8627,"Missing Fields","ฟิลด์ที่หายไป",Translated
8631,"Missing Mandatory Field","",Untranslated
8635,"Missing Opening Entries","",Untranslated
8639,"Missing Relieving Date","",Untranslated
8644,"Missing Tax Slab","",Untranslated
8655,"Mode Of Payment","วิธีการชำระเงิน",Translated
8660,"Mode of Payment","วิธีการชำระเงิน",Translated
8664,"Mode of Travel","",Untranslated
8670,"Mode of payment is required to make a payment","",Untranslated
8675,"Model","รุ่น",Translated
8683,"Monday","วันจันทร์",Translated
8688,"Month","เดือน",Translated
8693,"Month To Date","",Untranslated
8714,"Month To Date(Company Currency)","",Untranslated
8723,"Monthly","รายเดือน",Translated
8727,"Monthly Attendance Sheet","",Untranslated
8738,"More","เพิ่มเติม",Translated
8742,"More Info","ข้อมูลเพิ่มเติม",Translated
8746,"More than one selection for {0} not allowed","",Untranslated
8750,"Multiple Additional Salaries with overwrite property exist for Salary Component {0} between {1} and {2}.","",Untranslated
8754,"Multiple Shift Assignments","",Untranslated
8758,"My Account","บัญชีของฉัน",Translated
8762,"My Advances","",Untranslated
8766,"My Claims","",Untranslated
8770,"My Leaves","",Untranslated
8779,"My Requests","",Untranslated
8784,"Name","ชื่อ",Translated
8789,"Name error","",Untranslated
8798,"Name of Organizer","",Untranslated
8807,"Naming Series","ชุดการตั้งชื่อ",Translated
8812,"Net Pay","",Untranslated
8817,"Net Pay (Company Currency)","",Untranslated
8821,"Net Pay Info","",Untranslated
8825,"Net Pay cannot be less than 0","",Untranslated
8829,"Net Salary Amount","",Untranslated
8837,"Net pay cannot be negative","",Untranslated
8842,"New","ใหม่",Translated
8847,"New Company","บริษัทใหม่",Translated
8851,"New Employee ID","",Untranslated
8855,"New Expense Item","",Untranslated
8859,"New Expense Tax","",Untranslated
8863,"New Feedback","",Untranslated
8869,"New Leave(s) Allocated","",Untranslated
8874,"New Leaves Allocated","",Untranslated
8880,"New Leaves Allocated (In Days)","",Untranslated
8884,"New shift assignments will be created after this date.","",Untranslated
